wins,loss
28,25
26,12
66,59
78,80
13,5
130,130
35,24
91,77
54,42
39,42
39,45
61,64
67,61
13,14
26,28
14,13
24,30
21,22
36,29
40,54
141,146
97,77
30,20
22,11
72,72
38,35
69,72
194,151
101,81
31,18
79,107
25,15
19,13
180,187
130,121
35,42
110,93
39,39
95,98
51,40
40,48
48,69
27,21
17,20
31,28
38,34
62,63
20,26
98,97
17,23
37,27
150,158
113,108
42,41
115,107
107,101
32,32
49,62
26,16
23,18
118,130
107,102
38,45
92,83
33,34
51,45
46,48
14,11
6,12
38,20
98,92
46,39
112,82
45,42
56,39
79,73
66,57
15,6
30,38
79,71
79,80
84,80
84,90
135,121
64,92
9,9
25,20
23,18
16,23
22,19
12,12
96,80
28,23
55,54
28,36
76,68
29,19
178,188
86,73
75,67
81,89
61,47
65,49
58,55
29,28
25,43
104,104
107,71
34,26
43,34
83,77
24,38
72,66
7,14
27,43
66,68
40,38
62,61
39,28
33,25
56,47
38,39
70,64
66,56
41,33
57,38
28,16
41,35
15,8
36,18
71,43
36,37
17,13
44,49
57,49
27,22
15,19
20,16
35,43
47,46
81,57
12,10
50,32
17,15
52,63
76,64
60,54
12,17
59,51
32,33
13,24
44,34
41,27
40,38
76,53
73,93
117,115
73,77
28,30
85,85
14,21
33,35
66,83
46,31
44,42
21,12
22,9
27,31
27,39
103,89
110,86
31,27
40,40
17,17
35,30
64,44
23,22
108,101
27,19
47,39
71,76
70,68
81,79
30,15
27,23
27,18
29,27
22,23
14,18
96,75
56,56
30,21
20,18
22,18
78,92
61,60
70,61
17,13
19,15
34,24
65,49
27,32
170,154
55,52
105,124
12,12
65,49
39,44
33,23
27,41
96,89
122,80
73,76
16,13
154,147
70,84
20,12
47,45
85,70
23,28
29,26
43,44
146,151
42,43
35,15
47,38
99,86
68,59
50,44
47,43
71,53
32,32
16,14
49,54
50,40
53,39
18,11
45,30
75,85
10,6
31,41
22,19
149,100
59,58
43,37
81,81
70,72
57,97
52,55
94,36
50,37
97,76
64,71
57,66
45,32
54,41
16,13
44,52
19,20
21,24
20,23
99,90
9,8
52,45
51,48
87,91
67,50
34,25
15,25
160,150
46,53
35,29
126,125
22,31
34,37
41,37
22,16
39,36
31,23
78,98
30,27
111,59
84,66
24,21
88,89
38,37
