wins,loss
35,28
35,32
9,7
15,24
19,25
7,5
38,20
5,11
34,39
7,9
16,23
18,12
44,51
56,52
22,13
44,52
18,27
22,12
10,9
11,15
2,10
32,40
4,13
6,7
7,16
6,13
18,25
6,4
24,12
8,4
13,21
35,43
6,7
17,20
3,8
49,49
19,15
11,20
7,4
22,23
49,32
8,4
4,6
9,19
43,39
57,75
10,15
18,15
6,8
10,11
54,53
8,4
19,23
12,9
6,4
3,13
66,72
6,10
40,31
70,86
12,11
7,11
5,10
12,11
3,7
17,26
21,31
7,3
17,23
5,5
18,14
39,40
12,16
12,17
12,16
6,7
14,18
7,8
5,9
7,10
6,6
24,24
27,29
10,7
12,6
15,12
40,58
14,7
27,26
19,28
14,11
7,4
2,8
12,13
23,25
7,8
11,5
6,8
65,90
17,4
17,12
34,34
13,20
12,15
15,4
4,7
10,12
12,12
49,66
8,14
6,13
5,6
7,11
8,13
20,32
10,13
3,11
7,3
8,7
16,14
4,9
6,6
201,208
47,62
11,16
21,12
9,12
55,88
12,12
6,4
19,19
67,69
32,37
21,24
14,8
3,9
22,21
11,18
5,10
41,36
8,7
6,12
6,5
5,6
65,65
4,8
6,8
5,13
5,13
16,5
7,6
7,5
11,10
18,26
62,66
54,61
14,25
6,10
6,6
6,5
8,5
8,7
14,21
16,21
6,10
3,7
25,39
11,11
10,8
43,17
29,31
75,74
7,8
17,18
163,178
21,25
3,7
32,30
0,10
8,3
5,8
11,15
16,5
19,18
25,31
8,9
11,12
35,31
15,17
19,24
67,84
18,4
2,12
6,7
18,20
11,13
7,11
8,3
10,13
13,10
325,343
2,11
12,10
33,45
13,14
15,21
7,18
7,3
6,14
12,7
123,135
10,10
7,9
45,43
8,5
5,6
18,23
5,6
10,3
9,7
4,6
33,37
22,31
11,6
8,10
18,24
43,32
10,9
24,19
8,10
2,8
82,79
15,17
123,125
5,12
16,17
6,8
5,6
6,9
14,23
4,9
18,13
12,21
29,33
5,5
30,26
14,17
21,21
91,127
8,2
26,21
3,10
17,23
59,79
5,5
41,35
10,22
6,9
8,13
23,28
79,83
9,7
6,7
99,90
7,9
16,13
41,38
13,23
10,17
3,9
3,11
32,30
20,22
13,10
5,7
18,31
16,17
9,5
6,4
7,8
15,13
36,33
12,6
42,46
11,18
76,92
5,6
19,27
19,1
8,8
13,11
53,45
68,73
21,19
19,20
25,23
4,9
3,10
8,8
5,12
38,42
36,35
9,13
4,12
17,26
8,12
27,8
19,23
20,24
18,15
24,21
40,53
12,14
6,8
64,59
7,10
27,20
6,15
8,13
14,5
6,6
17,20
8,18
12,9
5,22
22,25
7,3
12,16
19,26
104,121
30,19
75,88
10,14
4,6
4,6
23,8
13,11
5,7
29,36
18,13
16,20
7,3
32,42
56,61
14,12
17,15
18,19
9,9
5,6
6,10
