wins,loss
1,10
46,57
7,18
33,39
43,94
37,46
38,46
16,20
25,24
2,12
7,18
33,43
9,21
26,29
10,21
1,10
29,37
18,21
3,7
11,26
15,14
4,10
13,19
13,27
10,19
3,14
13,22
12,14
1,10
7,14
1,9
30,44
3,15
59,79
16,26
9,15
10,13
16,22
24,30
3,10
40,63
8,30
1,9
13,26
3,9
8,20
17,17
1,9
76,78
2,10
1,9
24,37
6,17
9,16
27,31
15,21
20,37
12,17
5,12
11,23
14,16
19,35
3,10
67,74
2,8
2,8
36,46
46,69
24,43
1,10
23,43
13,19
36,43
12,17
37,53
4,10
12,19
11,19
6,24
15,25
49,70
38,59
28,38
19,20
21,30
3,18
5,17
26,46
6,19
11,24
2,11
25,30
26,31
6,9
8,17
75,167
6,21
9,13
11,15
23,21
88,95
2,8
1,13
20,37
22,54
39,44
32,52
3,13
11,14
3,15
52,80
2,9
4,10
21,28
1,9
3,10
0,12
1,10
5,12
24,27
14,16
12,23
4,10
8,19
1,9
30,40
54,50
5,13
5,10
14,25
6,11
11,23
46,56
7,12
9,17
7,15
9,19
14,14
44,54
2,9
0,11
10,26
2,8
2,8
1,12
17,24
5,10
6,15
59,92
55,70
12,13
9,18
13,23
60,61
41,67
1,13
34,27
52,91
2,9
2,12
2,9
1,9
52,59
7,15
7,15
1,14
20,22
10,30
33,43
9,21
27,30
8,19
2,8
8,15
16,29
2,10
1,9
21,30
1,10
16,23
0,10
3,10
5,19
3,13
55,58
24,24
12,24
84,91
41,61
21,33
2,10
4,10
14,26
86,102
12,23
25,24
8,25
1,12
6,13
66,70
6,10
25,32
42,49
13,30
23,30
29,37
13,28
4,12
22,24
12,16
16,18
5,15
3,12
5,12
137,173
37,51
11,19
6,11
7,40
5,11
5,14
11,17
2,9
64,88
8,17
2,8
27,32
31,62
17,20
41,49
35,43
65,66
7,9
16,15
1,15
0,10
14,32
11,21
6,13
3,11
3,17
23,45
13,25
45,56
7,17
3,11
14,23
13,17
4,12
22,36
25,36
3,7
56,68
0,10
34,65
11,17
11,15
19,35
7,11
54,70
0,10
26,30
15,21
10,19
4,14
10,17
7,14
14,17
10,14
11,27
30,40
10,21
9,15
4,13
37,42
3,15
11,18
25,33
2,9
6,12
44,58
8,12
4,8
29,36
6,16
17,22
1,12
1,10
55,68
19,18
3,8
162,221
78,89
11,21
16,22
48,47
8,10
9,22
28,45
8,20
37,54
28,37
65,84
25,38
26,40
2,14
7,21
8,17
28,41
47,51
1,10
8,16
31,45
8,16
17,27
12,22
19,24
26,24
32,41
13,24
48,47
7,10
75,63
5,20
42,58
6,17
4,9
48,63
93,122
3,9
11,17
9,15
1,10
56,61
28,43
16,19
15,25
8,10
5,12
4,14
6,14
5,13
12,15
9,14
7,15
8,20
1,9
14,25
12,19
36,42
14,28
14,25
68,79
9,11
42,56
4,13
4,11
10,13
14,27
96,110
14,22
63,76
81,97
16,20
2,11
2,14
18,24
37,30
3,11
9,11
22,26
1,9
16,17
48,62
11,16
25,30
35,55
103,130
10,34
14,25
18,15
35,41
35,44
2,8
34,43
23,21
26,35
29,38
1,11
0,10
21,34
8,15
1,12
4,14
4,9
2,8
25,25
4,11
9,14
10,21
34,41
1,9
47,55
3,7
21,30
21,19
7,11
32,45
2,15
2,8
9,10
11,27
26,29
1,9
22,37
8,22
2,9
71,111
1,9
11,21
35,49
80,111
39,48
8,12
21,37
19,32
5,10
60,72
12,14
51,59
9,13
2,14
17,21
40,36
4,15
5,8
27,32
0,11
3,10
10,15
19,32
3,11
15,26
1,9
32,42
13,24
3,9
48,78
40,39
3,21
37,40
28,38
5,11
3,10
2,8
60,75
1,9
13,20
15,32
17,19
3,15
21,26
17,20
53,75
8,8
13,24
47,82
10,20
2,8
14,19
3,8
6,12
44,47
10,17
3,17
50,51
8,14
13,19
15,19
26,35
7,16
6,8
12,23
42,49
11,21
3,13
7,13
64,78
6,11
3,10
36,43
8,26
15,26
18,26
9,21
0,11
25,30
26,31
6,9
8,17
75,167
8,16
9,12
8,12
2,12
12,24
1,9
29,54
2,10
1,12
6,24
5,16
24,40
31,31
1,9
22,22
3,10
22,28
15,24
10,17
53,50
25,27
1,13
3,16
43,63
41,63
5,11
13,21
22,31
32,41
7,13
19,29
2,8
11,15
15,33
11,15
21,26
20,19
7,13
11,21
20,21
1,11
24,46
22,28
1,9
22,33
47,53
21,41
39,45
2,9
13,19
2,9
12,17
5,18
22,23
11,22
46,57
21,34
0,11
2,8
24,28
14,13
48,59
3,10
10,17
18,15
5,9
1,9
12,19
1,9
17,26
30,32
18,33
79,175
6,14
12,45
3,14
43,57
25,38
19,25
1,9
6,10
8,20
21,26
18,27
6,14
31,59
13,29
38,36
30,36
4,11
9,15
37,42
12,16
13,17
2,10
2,8
28,41
18,31
16,23
9,26
13,22
31,46
25,33
44,55
42,57
5,11
5,8
39,42
47,67
10,18
23,36
13,19
5,18
4,15
4,11
13,24
10,19
53,75
0,10
6,15
11,20
3,11
2,9
10,24
3,8
5,12
30,47
15,25
2,16
9,24
16,21
2,13
31,41
44,49
16,18
11,21
5,10
17,21
6,16
35,52
19,16
10,19
19,21
7,9
31,32
1,9
23,26
20,35
4,13
7,14
46,54
179,197
14,21
21,27
9,20
19,31
14,37
29,63
5,11
24,32
5,15
7,19
3,12
5,11
30,24
43,47
9,26
2,14
9,17
9,12
19,19
1,9
12,21
37,40
1,13
19,41
24,30
8,26
