wins,loss
53,37
82,67
22,25
79,53
31,26
47,33
37,38
49,34
39,32
47,41
107,120
63,57
93,59
20,22
50,41
58,59
125,109
32,23
68,66
43,45
50,40
43,34
37,35
136,131
106,106
45,41
42,28
108,110
5,6
48,40
63,66
38,37
29,27
86,82
107,106
33,46
60,72
37,35
70,50
36,32
25,19
47,53
59,34
46,45
74,77
69,61
105,101
55,49
38,35
33,21
80,61
96,98
167,160
41,39
30,22
88,75
21,12
31,33
48,48
89,77
93,64
89,85
60,56
82,59
30,21
29,14
41,33
92,89
59,40
37,40
63,58
42,29
47,53
45,34
47,47
86,81
86,73
61,55
23,21
40,39
35,24
32,25
34,24
72,70
45,47
113,116
87,58
187,148
185,173
32,33
8,11
68,56
26,22
66,77
33,31
90,86
69,64
47,40
43,40
57,45
36,37
37,34
27,21
27,30
70,42
47,41
66,58
25,21
28,25
131,136
50,66
82,79
60,54
103,85
123,122
63,38
43,43
81,78
51,51
41,43
152,114
26,31
48,31
49,34
27,23
38,31
40,30
34,24
35,21
40,28
30,26
107,104
27,20
46,32
35,40
39,19
98,106
58,46
45,31
56,43
49,25
53,39
29,25
55,46
64,49
43,29
44,42
59,49
29,44
78,71
94,84
7,5
87,85
46,38
54,60
109,109
70,60
46,55
31,22
33,34
31,23
121,110
29,28
30,20
112,115
50,57
54,50
30,45
30,25
85,75
50,57
57,48
27,26
43,41
49,40
83,69
79,73
27,40
73,81
166,133
39,50
113,96
80,76
79,66
73,71
69,83
33,7
90,76
70,51
83,75
42,40
130,133
79,60
100,90
115,111
40,41
64,53
49,33
34,43
29,35
44,34
89,96
26,8
46,37
89,89
28,29
111,88
93,84
50,46
36,33
87,72
116,94
26,32
25,19
43,42
74,49
89,71
114,92
45,36
50,26
69,72
33,26
65,65
53,44
65,63
150,124
90,108
37,45
36,26
75,69
29,33
36,53
61,53
72,65
29,48
72,62
33,33
35,28
46,43
94,101
31,32
56,50
42,53
49,48
58,67
95,72
58,52
61,41
73,56
142,118
110,97
47,50
23,12
39,44
109,100
51,46
49,40
34,36
162,181
12,8
44,38
74,48
49,22
50,40
165,135
57,44
52,42
61,59
98,108
33,11
79,39
56,35
131,123
40,55
32,28
95,114
160,148
67,57
49,55
110,104
42,26
43,38
39,27
85,84
54,55
86,77
79,93
38,39
120,94
75,96
74,73
116,74
104,113
42,39
148,124
31,26
32,33
33,28
51,32
71,70
64,51
89,85
50,27
41,48
47,57
112,101
49,41
27,36
60,55
34,28
130,134
43,39
165,153
61,44
90,90
104,107
43,36
42,38
123,136
54,54
38,38
4,6
65,49
32,42
59,67
34,35
29,29
52,32
74,83
98,107
25,18
23,33
61,52
35,31
83,94
79,81
41,44
165,117
56,50
80,71
34,30
64,54
98,95
50,42
42,36
103,106
78,80
65,60
96,88
41,53
48,24
26,36
68,52
24,15
69,54
28,23
34,29
77,71
59,58
58,45
112,112
100,86
26,24
68,67
100,97
36,35
27,19
102,101
125,130
79,66
79,71
70,53
36,33
37,35
105,102
114,108
58,49
109,104
32,37
29,40
51,57
41,27
27,24
34,18
139,108
84,76
52,44
32,27
38,29
52,42
54,53
46,47
61,63
19,29
24,17
64,48
45,36
111,100
23,21
42,51
18,22
40,45
47,30
87,76
85,81
93,101
55,37
41,38
93,65
35,28
47,33
37,38
49,34
39,32
47,41
29,35
49,48
65,54
31,18
38,31
90,91
74,52
43,41
140,134
42,42
128,129
27,31
33,14
32,24
96,90
58,52
54,47
85,60
36,24
67,82
42,47
65,54
47,34
37,30
48,43
129,152
25,17
43,37
94,87
100,118
50,51
45,44
46,30
128,109
137,137
66,67
54,47
11,3
167,145
95,100
61,51
53,48
116,114
106,93
58,47
36,38
40,29
61,48
61,62
67,36
