district,nonlearner,learner
3.0,0,5.820494066797004e-17
3.03,0,6.066928968936926e-17
3.06,0,6.323640791244234e-17
3.09,0,6.59105137364828e-17
3.13,0,6.869599586731271e-17
3.16,0,7.159742007427016e-17
3.19,0,7.461953621040794e-17
3.22,0,7.776728550596768e-17
3.25,0,8.104580814555175e-17
3.28,0,8.446045113982899e-17
3.31,0,8.801677650299239e-17
3.34,0,9.172056974761281e-17
3.37,0,9.557784870899163e-17
3.4,0,9.959487271150161e-17
3.43,0,1.0377815208997042e-16
3.46,0,1.08134458079539e-16
3.49,0,1.1267083308801077e-16
3.52,0,1.1739460136517863e-16
3.55,0,1.2231338008417823e-16
3.58,0,1.2743509085048066e-16
3.61,0,1.3276797165465947e-16
3.64,0,1.383205892857794e-16
3.67,0,1.4410185222273985e-16
3.7,0,1.5012102402166033e-16
3.73,0,1.563877372179872e-16
3.76,0,1.6291200776275522e-16
3.79,0,1.6970425001309199e-16
3.82,0,1.76775292297821e-16
3.85,0,1.8413639307983587e-16
3.88,0,1.9179925773760734e-16
3.91,0,1.9977605598910855e-16
3.94,0,2.0807943998227222e-16
3.97,0,2.167225630768939e-16
4.0,0,2.25719099344019e-16
4.03,0,2.3508326380949305e-16
4.06,0,2.4482983346971314e-16
4.09,0,2.5497416910821993e-16
4.12,0,2.6553223794326276e-16
4.15,0,2.765206371371538e-16
4.18,0,2.879566181996758e-16
4.21,0,2.9985811231879717e-16
4.24,0,3.1224375665323156e-16
4.27,0,3.251329216226359e-16
4.3,0,3.385457392325097e-16
4.33,0,3.525031324722519e-16
4.36,0,3.670268458261933e-16
4.39,0,3.821394769388973e-16
4.42,0,3.9786450947747885e-16
4.45,0,4.142263472352924e-16
4.48,0,4.3125034952290574e-16
4.51,0,4.489628678939709e-16
4.54,0,4.673912842552784e-16
4.57,0,4.865640504121134e-16
4.6,0,5.065107291018892e-16
4.63,0,5.272620365707752e-16
4.66,0,5.488498867504102e-16
4.69,0,5.713074370932002e-16
4.72,0,5.946691361276636e-16
4.75,0,6.189707727964857e-16
4.78,0,6.442495276432809e-16
4.81,0,6.705440259153821e-16
4.84,0,6.97894392653274e-16
4.87,0,7.263423098391999e-16
4.9,0,7.559310756804075e-16
4.93,0,7.8670566610506e-16
4.96,0,8.187127985517025e-16
4.99,0,8.520009981359279e-16
5.02,0,8.866206662811282e-16
5.05,0,9.226241519029759e-16
5.08,0,9.60065825240816e-16
5.11,0,9.990021544321275e-16
5.14,0,1.0394917849300828e-15
5.17,0,1.081595621867127e-15
5.2,0,1.1253769154719943e-15
5.23,0,1.1709013496505324e-15
5.26,0,1.2182371338453194e-15
5.29,0,1.2674550982926758e-15
5.32,0,1.318628792800101e-15
5.35,0,1.3718345891714403e-15
5.38,0,1.427151787411639e-15
5.41,0,1.4846627258473339e-15
5.44,0,1.5444528953050276e-15
5.47,0,1.6066110574924558e-15
5.5,0,1.6712293677352985e-15
5.53,0,1.7384035022252007e-15
5.56,0,1.8082327899421427e-15
5.59,0,1.8808203494183693e-15
5.62,0,1.9562732305183044e-15
5.65,0,2.034702561414024e-15
5.68,0,2.116223700942822e-15
5.71,0,2.2009563965391915e-15
5.74,0,2.2890249479414633e-15
5.77,0,2.3805583768786557e-15
5.8,0,2.475690602952203e-15
5.83,0,2.574560625932728e-15
5.86,0,2.677312714701758e-15
5.89,0,2.7840966030742176e-15
5.92,0,2.8950676927474865e-15
5.95,0,3.010387263630258e-15
5.98,0,3.13022269181387e-15
6.01,0,3.2547476754571026e-15
6.04,0,3.384142468866258e-15
6.07,0,3.5185941250600433e-15
6.1,0,3.658296747121256e-15
6.13,0,3.803451748645066e-15
6.16,0,3.95426812360715e-15
6.19,0,4.110962725983412e-15
6.22,0,4.2737605594666805e-15
6.25,0,4.442895077636355e-15
6.28,0,4.6186084949498046e-15
6.31,0,4.801152108936358e-15
6.34,0,4.99078663398953e-15
6.37,0,5.187782547163585e-15
6.4,0,5.3924204463986576e-15
6.43,0,5.604991421608639e-15
6.46,0,5.8257974390854726e-15
6.49,0,6.0551517396845955e-15
6.52,0,6.293379251276043e-15
6.55,0,6.540817015959673e-15
6.58,0,6.7978146325614265e-15
6.61,0,7.064734714943522e-15
6.64,0,7.341953366683025e-15
6.67,0,7.629860672686702e-15
6.7,0,7.928861208336127e-15
6.73,0,8.239374566769861e-15
6.76,0,8.561835904937718e-15
6.79,0,8.896696509076276e-15
6.82,0,9.244424380283176e-15
6.85,0,9.605504840886225e-15
6.88,0,9.980441162329355e-15
